title,label_id,label,text,keywords
How do I fill a DataSet or a DataTable from a LINQ query resultset ?,18,linq,how do i fill a dataset or a datatable from a linq query resultset ,resultset-0.5437	datatable-0.5239
How do you page a collection with LINQ?,18,linq,how do you page a collection with linq ,collection-0.6917	page-0.5528
Best Subversion clients for Windows Vista (64bit),3,svn,best subversion clients for windows vista bit ,clients-0.5274	vista-0.4984
"Best Practice: Collaborative Environment, Bin Directory, SVN",3,svn,best practice collaborative environment bin directory svn,collaborative-0.5111	bin-0.4586
Visual Studio Setup Project - Per User Registry Settings,7,visual-studio,visual studio setup project per user registry settings,registry-0.5503	settings-0.4334
How do I most elegantly express left join with aggregate SQL as LINQ query,18,linq,how do i most elegantly express left join with aggregate sql as linq query,elegantly-0.4899	aggregate-0.4481
.Net XML comment into API Documentation,7,visual-studio, net xml comment into api documentation,documentation-0.5341	comment-0.5201
Modify Address Bar URL in AJAX App to Match Current State,15,ajax,modify address bar url in ajax app to match current state,modify-0.3743	bar-0.3691
Integrating Visual Studio Test Project with Cruise Control,7,visual-studio,integrating visual studio test project with cruise control,cruise-0.5543	integrating-0.4577
What should a longtime Windows user know when starting to use Linux?,10,bash,what should a longtime windows user know when starting to use linux ,longtime-0.5562	starting-0.4231
Folders or Projects in a Visual Studio Solution?,7,visual-studio,folders or projects in a visual studio solution ,folders-0.5412	projects-0.5011
How do I create a branch in SVN?,3,svn,how do i create a branch in svn ,branch-0.7246	create-0.5144
Add Custom Tag to Visual Studio Validation,7,visual-studio,add custom tag to visual studio validation,validation-0.5201	tag-0.5153
How do I turn on line numbers by default in TextWrangler on the Mac?,9,osx,how do i turn on line numbers by default in textwrangler on the mac ,textwrangler-0.5938	turn-0.4383
How to tab focus onto a dropdown field in Mac OSX,9,osx,how to tab focus onto a dropdown field in mac osx,dropdown-0.4937	focus-0.4813
How to tab between buttons on an OSX dialog box,9,osx,how to tab between buttons on an osx dialog box,buttons-0.5086	box-0.4531
Progressive Enhancement,15,ajax,progressive enhancement,progressive-0.7176	enhancement-0.6965
What is a good web-based Grid that accepts Excel clipboard data?,5,excel,what is a good web based grid that accepts excel clipboard data ,accepts-0.4885	clipboard-0.443
What is keyboard shortcut to view all open documents in Visual Studio 2008,7,visual-studio,what is keyboard shortcut to view all open documents in visual studio ,documents-0.4592	shortcut-0.4592
How to generate getters and setters in Visual Studio?,7,visual-studio,how to generate getters and setters in visual studio ,getters-0.5931	setters-0.5757
"Plugin for Visual Studio to Mimic Eclipse's ""Open Type"" or ""Open Resource"" Keyboard Access",7,visual-studio,plugin for visual studio to mimic eclipse s open type or open resource keyboard access,open-0.5242	mimic-0.4388
Can ASP.NET AJAX partial rendering work inside a SharePoint 2007 application page?,15,ajax,can asp net ajax partial rendering work inside a sharepoint application page ,partial-0.4403	rendering-0.4213
What is the best way to deploy a VB.NET application?,7,visual-studio,what is the best way to deploy a vb net application ,deploy-0.5329	vb-0.4862
what is your favorite web app deployment workflow with SVN?,3,svn,what is your favorite web app deployment workflow with svn ,favorite-0.5247	deployment-0.4701
Setup Visual Studio 2005 to print line numbers,7,visual-studio,setup visual studio to print line numbers,print-0.4823	setup-0.4754
Automated release script and Visual Studio Setup projects,7,visual-studio,automated release script and visual studio setup projects,automated-0.5065	release-0.4376
How do I configure a Vista Ultimate (64bit) account so it can access a SMB share on OSX?,9,osx,how do i configure a vista ultimate bit account so it can access a smb share on osx ,ultimate-0.4268	smb-0.4143
SVN merge merged extra stuff,3,svn,svn merge merged extra stuff,merged-0.5319	stuff-0.5319
Best SVN Client Ignore Pattern for VB.NET Solutions?,3,svn,best svn client ignore pattern for vb net solutions ,solutions-0.4238	ignore-0.3984
Experience with SVN vs. Team Foundation Server?,3,svn,experience with svn vs team foundation server ,experience-0.5119	foundation-0.507
Version control PHP Web Project,3,svn,version control php web project,version-0.482	control-0.4656
Database Version Control,3,svn,database version control,version-0.6006	control-0.5801
How to add CVS directories recursively,3,svn,how to add cvs directories recursively,cvs-0.5807	recursively-0.5507
How can I fix the background of wikipedia pages as displayed in Google Chrome?,9,osx,how can i fix the background of wikipedia pages as displayed in google chrome ,wikipedia-0.4619	chrome-0.4423
How to specify javascript to run when ModalPopupExtender is shown,15,ajax,how to specify javascript to run when modalpopupextender is shown,modalpopupextender-0.5495	shown-0.5172
IE6 + SSL + AJAX + post form  = 404 error (?),15,ajax,ie ssl ajax post form error ,ssl-0.5953	post-0.45
Always Commit the same file with SVN,3,svn,always commit the same file with svn,commit-0.7332	svn-0.4931
How do you deal with configuration files in source control?,3,svn,how do you deal with configuration files in source control ,deal-0.5619	configuration-0.4613
Common Types of Subversion Hooks,3,svn,common types of subversion hooks,hooks-0.5939	common-0.5552
VS 2008 - Objects disappearing?,7,visual-studio,vs objects disappearing ,disappearing-0.754	objects-0.4982
Visual Studio and dual/multiple monitors: how do I get optimized use out of my monitors?,7,visual-studio,visual studio and dual multiple monitors how do i get optimized use out of my monitors ,monitors-0.7633	optimized-0.3932
Very slow merge with Subversion 1.5,3,svn,very slow merge with subversion ,slow-0.6444	merge-0.6005
How can I improve the edit-compile-test loop when developing a SharePoint workflow?,14,sharepoint,how can i improve the edit compile test loop when developing a sharepoint workflow ,improve-0.4334	developing-0.4125
User authentication on Resin webserver,4,apache,user authentication on resin webserver,resin-0.6264	webserver-0.5495
How do I make Subversion (SVN) send email on checkins?,3,svn,how do i make subversion svn send email on checkins ,checkins-0.5964	email-0.4277
Beginners Guide to LINQ,18,linq,beginners guide to linq,guide-0.6782	beginners-0.6667
How do I find the high water mark (for sessions) on Oracle 9i,2,oracle,how do i find the high water mark for sessions on oracle i,water-0.5613	mark-0.4728
URL Redirection for SSL virtual hosts,4,apache,url redirection for ssl virtual hosts,hosts-0.5127	redirection-0.4911
How do you redirect https to http,4,apache,how do you redirect https to http,https-0.6414	http-0.5648
Shelve in TortoiseSVN?,3,svn,shelve in tortoisesvn ,shelve-0.7743	tortoisesvn-0.6328
Visual Studio refactoring: Remove method,7,visual-studio,visual studio refactoring remove method,refactoring-0.6345	remove-0.448
Not showing Dialog when opening file in Acrobat Pro using Applescript,9,osx,not showing dialog when opening file in acrobat pro using applescript,acrobat-0.495	pro-0.4007
mod_rewrite to alias one file suffix type to another,4,apache,mod_rewrite to alias one file suffix type to another,suffix-0.5959	alias-0.5091
Ajax project suggestion.,15,ajax,ajax project suggestion ,suggestion-0.8115	project-0.4639
SharePoint - Connection String dialog box during FeatureActivated event,14,sharepoint,sharepoint connection string dialog box during featureactivated event,featureactivated-0.5539	box-0.3901
SharePoint WSS 3.0 Integration with Mac OSX (either Safari or Firefox),9,osx,sharepoint wss integration with mac osx either safari or firefox ,safari-0.4504	firefox-0.4454
Accessing iSight programatically?,9,osx,accessing isight programatically ,isight-0.7168	accessing-0.4952
Windows Mobile Device Emulator - how to save config permanently?,7,visual-studio,windows mobile device emulator how to save config permanently ,permanently-0.4596	emulator-0.44
Scala abstract type bounds cross referencing,13,scala,scala abstract type bounds cross referencing,bounds-0.5116	referencing-0.4858
Using Parameters in MS Reporting Services (SQL 2008) against an ODBC data source,7,visual-studio,using parameters in ms reporting services sql against an odbc data source,odbc-0.4408	reporting-0.436
How do you deploy your SharePoint solutions?,14,sharepoint,how do you deploy your sharepoint solutions ,deploy-0.6644	solutions-0.6487
Visual Studio 2008 Window layout annoyance,7,visual-studio,visual studio window layout annoyance,annoyance-0.6806	layout-0.4609
Where is TFS work item help text displayed?,7,visual-studio,where is tfs work item help text displayed ,tfs-0.5337	displayed-0.4814
Graphical representation of SVN branch/merge activity,3,svn,graphical representation of svn branch merge activity,graphical-0.5143	activity-0.4699
Can I copy files to a Network Place from a script or the command line?,14,sharepoint,can i copy files to a network place from a script or the command line ,place-0.4795	network-0.4388
