text,label,label_masked
Very slow compile times on Visual Studio,visual-studio,unknown
Visual studio automation: Enumerate opened windows upon solution loading.,visual-studio,unknown
I don't get the concept of Visual Studio Projects and Solutions.,visual-studio,unknown
"How to ""Add Existing Item"" an entire directory structure in Visual Studio",visual-studio,unknown
Compiling code on an external drive,visual-studio,unknown
What tool do you use for counting lines of source code in Visual Studio Projects ?,visual-studio,unknown
"Is there a keyboard shortcut for ""Build Page"" in Visual Studio 2005?",visual-studio,unknown
"How to permanently remove a breakpoint in Visual Studio 2005 /2008 (ASP.NET, C#)",visual-studio,unknown
Visual Studio Extensibility: Adding existing folders to a project,visual-studio,unknown
Why isn't there a Team Foundation Server Express Edition?,visual-studio,unknown
How do you stop a Visual Studio generated web service proxy class from encoding?,visual-studio,unknown
"How can I stop Visual Studio (both 2005 and 2008) from crashing (sometimes) when I select the ""Close All But This"" option?",visual-studio,unknown
How do I keep Resharper Files out of SVN?,visual-studio,unknown
stringstream manipulators & vstudio 2003,visual-studio,unknown
Visual Studio 2005 - 'Updating IntelliSense' hang-up,visual-studio,unknown
Visual Studio 2005 ERROR: An error occurred generating a bootstrapper: Invalid syntax.,visual-studio,unknown
Remove VSMacros80 directory,visual-studio,unknown
How to get t4 files to build in visual studio?,visual-studio,unknown
Should I add the Visual Studio .suo and .user files to source control,visual-studio,unknown
"[VS] How do I add Debug Breakpoints to lines displayed in a ""Find Results"" window",visual-studio,unknown
How to tell if .net code is being run by Visual Studio designer,visual-studio,unknown
Disabling copy of empty text in Visual Studio,visual-studio,unknown
TFS annotate/blame summary report for a project,visual-studio,unknown
How to make clipboard ring appear in VS2008 toolbox?,visual-studio,unknown
Best way to do Visual Studio post build deployment in a team environment?,visual-studio,unknown
x86 Remote Debugger Service on x64,visual-studio,unknown
Visual Studio keeps adding blank lines,visual-studio,unknown
Executing different set of MSBuild tasks for each user?,visual-studio,unknown
Any good PowerShell MSBuild tasks?,visual-studio,unknown
How do I enable Platform Builder mode in VS2008,visual-studio,unknown
"Visual Studio 2005: Please stop opening my CS files in ""Design Mode""!",visual-studio,unknown
mspdbsrv.exe living forever?,visual-studio,unknown
Visual Studio opens default browser instead of IE,visual-studio,unknown
Visual Studio: How to trigger an alarm when a breakpoint is hit?,visual-studio,unknown
"In Visual Studio 2008, how can I make control+click do a ""Go To Definition""?",visual-studio,unknown
Displaying build times in Visual Studio?,visual-studio,unknown
How do you clear your MRU list in Visual Studio?,visual-studio,unknown
How do I reference a diagram in a DSL T4 template?,visual-studio,unknown
How to automatically remove trailing whitespace in Visual Studio 2008?,visual-studio,unknown
What's the best/fastest/easiest way to collapse all projects in Visual Studio?,visual-studio,unknown
How can I create and develop new database projects in Visual Studio?,visual-studio,unknown
ReSharper sluggishness,visual-studio,unknown
